iter	RMSE
0	60.77954323
1	57.48697783
2	54.7167727
3	51.84383101
4	49.26558433
5	46.63748882
6	44.38215168
7	42.08583374
8	40.07515709
9	38.15180876
10	36.41132171
11	34.93172058
12	33.39993663
13	31.87852573
14	30.43575078
15	29.14440039
16	27.84305946
17	26.70837238
18	25.65856981
19	24.69354227
20	23.7406151
21	22.75416543
22	21.86004817
23	20.98733314
24	20.18614556
25	19.47249417
26	18.76049734
27	18.08350814
28	17.39013049
29	16.762443
30	16.16776303
31	15.62504707
32	15.04377965
33	14.51716301
34	13.98759904
35	13.53243028
36	13.07571264
37	12.69218121
38	12.30815082
39	11.95185143
40	11.56053065
41	11.20690736
42	10.88995262
43	10.58329879
44	10.26486132
45	9.998889674
46	9.712767459
47	9.457908933
48	9.191139862
49	8.915880905
50	8.717468712
51	8.508436749
52	8.311518442
53	8.077595116
54	7.886534948
55	7.691040674
56	7.46868991
57	7.284331591
58	7.104928987
59	6.939579169
60	6.776258499
61	6.633980315
62	6.459507696
63	6.315058969
64	6.167406647
65	6.02922884
66	5.898888745
67	5.78098582
68	5.668706243
69	5.567407656
70	5.460144665
71	5.36966694
72	5.28205811
73	5.197982084
74	5.109676762
75	5.030142493
76	4.946986184
77	4.862140904
78	4.791187411
79	4.713568767
80	4.64302854
81	4.5783685
82	4.509328704
83	4.434360931
84	4.36296853
85	4.307851669
86	4.259266221
87	4.220558354
88	4.157024242
89	4.104224595
90	4.052571697
91	4.004407189
92	3.948312011
93	3.895425162
94	3.844986166
95	3.80384062
96	3.760621677
97	3.723011997
98	3.679766047
99	3.648938095
100	3.604761462
101	3.557125406
102	3.510746528
103	3.477261918
104	3.455436889
105	3.42578202
106	3.379376186
107	3.308475971
108	3.288948723
109	3.231076145
110	3.186814519
111	3.13443074
112	3.100186389
113	3.082001082
114	3.051952739
115	3.017605164
116	2.977748138
117	2.965486427
118	2.937209185
119	2.894080275
120	2.850082339
121	2.822570307
122	2.796179369
123	2.768289785
124	2.756677698
125	2.745587994
126	2.712405951
127	2.682275438
128	2.651408685
129	2.613847717
130	2.598412838
131	2.57786107
132	2.551796078
133	2.529489363
134	2.508693513
135	2.489394838
136	2.480927332
137	2.455306461
138	2.41764348
139	2.397578885
140	2.371867186
141	2.345183353
142	2.327158318
143	2.316587308
144	2.302513154
145	2.273166878
146	2.256100081
147	2.236077999
148	2.224342624
149	2.201591876
150	2.184471041
151	2.169684776
152	2.162424292
153	2.140936197
154	2.12637255
155	2.101791985
156	2.094377415
157	2.088531965
158	2.065882182
159	2.062054406
160	2.033027596
161	2.0143233
162	1.991809434
163	1.97947963
164	1.95514552
165	1.930429513
166	1.914309194
167	1.898487877
168	1.879250442
169	1.857654112
170	1.853738742
171	1.836503121
172	1.825262993
173	1.808201014
174	1.789433409
175	1.778610329
176	1.759835735
177	1.753096503
178	1.744613594
179	1.731485939
180	1.719006229
181	1.712924142
182	1.698590231
183	1.688682986
184	1.676113586
185	1.655216318
186	1.642679119
187	1.625402073
188	1.609002593
189	1.594579002
190	1.574345123
191	1.562078058
192	1.55674258
193	1.553350481
194	1.537066609
195	1.522414669
196	1.51681942
197	1.505196797
198	1.500093511
199	1.482217697
200	1.469337912
201	1.462049832
202	1.45356064
203	1.435781972
204	1.427204159
205	1.424105094
206	1.416884581
207	1.404378656
208	1.395792979
209	1.385779438
210	1.370785005
211	1.365460201
212	1.356159453
213	1.346421257
214	1.337449339
215	1.323647409
216	1.314886785
217	1.306921204
218	1.29923352
219	1.291876468
220	1.290728743
221	1.278192367
222	1.269381729
223	1.259949388
224	1.251845474
225	1.24535664
226	1.236244685
227	1.227426741
228	1.226156905
229	1.211303036
230	1.204961184
231	1.196105814
232	1.190214784
233	1.188912251
234	1.181335678
235	1.174366428
236	1.170791713
237	1.165329644
238	1.159329532
239	1.147182946
240	1.138029131
241	1.129160337
242	1.127102463
243	1.117069338
244	1.110520501
245	1.103820412
246	1.092869497
247	1.084750356
248	1.079914625
249	1.073574935
250	1.06519437
251	1.060592912
252	1.05908519
253	1.051600945
254	1.04582558
255	1.041372421
256	1.035249303
257	1.027805972
258	1.019273814
259	1.014502395
260	1.012977664
261	1.00713704
262	1.000963483
263	0.9918863383
264	0.9877451982
265	0.9812148191
266	0.9761934164
267	0.9711403588
268	0.9671499248
269	0.9639817191
270	0.9529665856
271	0.9490920954
272	0.9429727287
273	0.9411275694
274	0.933053085
275	0.9259967949
276	0.9177082259
277	0.9108801648
278	0.9068163783
279	0.9019152855
280	0.8985879854
281	0.891892054
282	0.8841161006
283	0.8791148704
284	0.8725451369
285	0.8683990431
286	0.8617807866
287	0.8567740185
288	0.8529911297
289	0.8500541319
290	0.8468102475
291	0.8450155628
292	0.8401926478
293	0.8319784664
294	0.8281303148
295	0.8236004297
296	0.8216444826
297	0.8184947079
298	0.8158522711
299	0.8090780533
