iter	Passed	Remaining
0	13	3935
1	26	3961
2	38	3816
3	50	3744
4	64	3810
5	77	3815
6	90	3795
7	103	3769
8	116	3756
9	131	3814
10	145	3811
11	158	3793
12	170	3767
13	182	3737
14	196	3726
15	210	3732
16	224	3730
17	236	3709
18	251	3713
19	265	3712
20	279	3714
21	292	3698
22	306	3686
23	318	3668
24	332	3657
25	346	3654
26	360	3645
27	374	3634
28	388	3629
29	402	3619
30	415	3608
31	429	3596
32	443	3589
33	457	3579
34	471	3571
35	485	3561
36	500	3555
37	513	3543
38	528	3534
39	541	3522
40	556	3516
41	571	3512
42	586	3504
43	600	3493
44	616	3493
45	630	3479
46	643	3462
47	657	3451
48	672	3444
49	686	3432
50	700	3421
51	715	3413
52	730	3404
53	744	3390
54	762	3396
55	776	3384
56	792	3379
57	810	3380
58	827	3380
59	842	3369
60	857	3359
61	872	3350
62	887	3338
63	901	3323
64	917	3315
65	932	3304
66	946	3292
67	961	3281
68	977	3274
69	992	3260
70	1006	3246
71	1022	3236
72	1039	3231
73	1054	3221
74	1071	3214
75	1088	3208
76	1103	3196
77	1120	3189
78	1135	3176
79	1149	3161
80	1163	3146
81	1179	3134
82	1193	3119
83	1207	3104
84	1221	3090
85	1235	3073
86	1249	3058
87	1263	3043
88	1277	3029
89	1292	3016
90	1306	3000
91	1320	2984
92	1334	2969
93	1347	2952
94	1361	2937
95	1377	2926
96	1390	2910
97	1403	2893
98	1417	2878
99	1430	2861
100	1443	2844
101	1458	2830
102	1473	2819
103	1487	2804
104	1502	2791
105	1516	2775
106	1529	2758
107	1543	2743
108	1558	2730
109	1572	2715
110	1585	2699
111	1599	2684
112	1612	2668
113	1626	2654
114	1640	2639
115	1654	2624
116	1668	2609
117	1682	2594
118	1695	2578
119	1710	2565
120	1724	2550
121	1739	2538
122	1754	2524
123	1768	2510
124	1782	2495
125	1796	2480
126	1811	2467
127	1826	2453
128	1843	2444
129	1860	2433
130	1877	2421
131	1895	2412
132	1911	2399
133	1926	2386
134	1941	2372
135	1955	2358
136	1969	2343
137	1985	2330
138	2000	2316
139	2014	2302
140	2029	2288
141	2042	2273
142	2056	2257
143	2071	2243
144	2086	2230
145	2101	2216
146	2115	2202
147	2129	2187
148	2143	2172
149	2157	2157
150	2171	2142
151	2185	2127
152	2198	2112
153	2213	2098
154	2226	2083
155	2240	2067
156	2253	2052
157	2268	2038
158	2281	2023
159	2296	2009
160	2309	1994
161	2323	1979
162	2337	1964
163	2351	1949
164	2364	1934
165	2379	1920
166	2394	1906
167	2408	1892
168	2422	1877
169	2435	1862
170	2450	1848
171	2464	1834
172	2479	1819
173	2494	1806
174	2508	1791
175	2523	1777
176	2537	1763
177	2550	1748
178	2564	1733
179	2579	1719
180	2595	1706
181	2609	1691
182	2623	1677
183	2636	1662
184	2650	1647
185	2665	1633
186	2680	1620
187	2695	1605
188	2709	1591
189	2724	1577
190	2739	1563
191	2754	1549
192	2769	1535
193	2782	1520
194	2796	1505
195	2810	1491
196	2824	1476
197	2839	1462
198	2853	1448
199	2869	1434
200	2883	1420
201	2896	1405
202	2910	1390
203	2927	1377
204	2943	1363
205	2961	1351
206	2977	1337
207	2994	1324
208	3009	1310
209	3025	1296
210	3040	1282
211	3056	1268
212	3070	1254
213	3085	1240
214	3100	1225
215	3113	1210
216	3127	1196
217	3140	1181
218	3155	1167
219	3170	1152
220	3184	1138
221	3198	1123
222	3212	1109
223	3227	1094
224	3241	1080
225	3256	1066
226	3270	1051
227	3284	1037
228	3298	1022
229	3312	1008
230	3325	993
231	3338	978
232	3355	964
233	3369	950
234	3385	936
235	3399	922
236	3414	907
237	3429	893
238	3445	879
239	3460	865
240	3473	850
241	3488	836
242	3501	821
243	3516	807
244	3532	792
245	3546	778
246	3560	763
247	3573	749
248	3587	734
249	3601	720
250	3617	706
251	3630	691
252	3645	677
253	3659	662
254	3675	648
255	3690	634
256	3704	619
257	3717	605
258	3730	590
259	3746	576
260	3759	561
261	3774	547
262	3787	532
263	3800	518
264	3813	503
265	3826	489
266	3842	474
267	3857	460
268	3871	446
269	3884	431
270	3898	417
271	3913	402
272	3928	388
273	3942	374
274	3957	359
275	3972	345
276	3986	331
277	3999	316
278	4018	302
279	4033	288
280	4047	273
281	4065	259
282	4080	245
283	4094	230
284	4108	216
285	4122	201
286	4136	187
287	4150	172
288	4163	158
289	4177	144
290	4191	129
291	4204	115
292	4219	100
293	4232	86
294	4246	71
295	4261	57
296	4275	43
297	4291	28
298	4306	14
299	4321	0
